sample_id,country_code,level0,level1_family,level2_genus,level3_species,location,source,species_key,year,longitude,latitude,is_valid,growth_form
4306810,US,Deciduous Broadleaf,Altingiaceae,Liquidambar,Liquidambar styraciflua,United States of America,iNaturalist Research-grade Observations,3152824.0,2022,-76.15134612896955,36.58411490985975,True,乔木
4296097,US,Deciduous Broadleaf,Sapindaceae,Acer,Acer saccharum,United States of America,iNaturalist Research-grade Observations,3189859.0,2019,-85.46337158180059,42.94933005421793,True,乔木
4502328,US,Evergreen Needleleaf,Cupressaceae,Sequoia,Sequoia sempervirens,United States of America,iNaturalist Research-grade Observations,2683909.0,2018,-124.05205753383272,41.16307214052121,True,乔木
4014674,US,Deciduous Broadleaf,Sapindaceae,Acer,Acer pensylvanicum,United States of America,iNaturalist Research-grade Observations,3189836.0,2020,-69.05305923052592,44.23246313695331,True,乔木
4336349,US,Deciduous Broadleaf,Fagaceae,Quercus,Quercus alba,United States of America,iNaturalist Research-grade Observations,2879737.0,2024,-77.3147523484199,38.89722007212216,True,乔木
4594801,US,Evergreen Needleleaf,Pinaceae,Pinus,Pinus strobus,United States of America,iNaturalist Research-grade Observations,5284982.0,2021,-72.26840106353836,43.72331851956981,True,乔木
4256852,US,Deciduous Broadleaf,Malvaceae,Tilia,Tilia americana,United States of America,iNaturalist Research-grade Observations,3152042.0,2022,-82.23219102184632,41.14457133025047,True,乔木
4009506,US,Deciduous Broadleaf,Sapindaceae,Acer,Acer macrophyllum,United States of America,iNaturalist Research-grade Observations,3189835.0,2018,-121.91839105706208,37.902938637426914,True,乔木
4235789,US,Deciduous Broadleaf,Fabaceae,Cercis,Cercis canadensis,United States of America,iNaturalist Research-grade Observations,5353583.0,2022,-82.6272495387774,35.10590953333929,True,乔木
4196587,US,Deciduous Broadleaf,Betulaceae,Ostrya,Ostrya virginiana,United States of America,iNaturalist Research-grade Observations,5332289.0,2016,-89.82702111809641,35.6412023193002,True,乔木
4431649,US,Deciduous Broadleaf,Platanaceae,Platanus,Platanus occidentalis,United States of America,iNaturalist Research-grade Observations,3152820.0,2024,-75.10934339480032,40.802469097430105,True,乔木
4171490,US,Deciduous Broadleaf,Salicaceae,Populus,Populus tremuloides,United States of America,iNaturalist Research-grade Observations,3040215.0,2019,-105.79401410173855,32.88956686393666,True,乔木
4798197,US,Evergreen Broadleaf,Rutaceae,Citrus,Citrus polyandra,United States of America,iNaturalist Research-grade Observations,2396.0,2019,-95.56707029476146,30.15789926309045,True,乔木
4747091,US,Deciduous Needleleaf,Cupressaceae,Taxodium,Taxodium distichum,United States of America,iNaturalist Research-grade Observations,2684191.0,2020,-97.49042772944745,32.80895969419352,True,乔木
4974452,US,Evergreen Needleleaf,Pinaceae,Pinus,Pinus strobus,United States of America,iNaturalist Research-grade Observations,5284982.0,2023,-81.06214966002844,37.83103563294011,True,乔木
4013232,US,Deciduous Broadleaf,Sapindaceae,Acer,Acer pensylvanicum,United States of America,iNaturalist Research-grade Observations,3189836.0,2022,-69.71977510183504,43.93973653009775,True,乔木
4914585,US,Evergreen Broadleaf,Ericaceae,Kalmia,Kalmia latifolia,United States of America,iNaturalist Research-grade Observations,2883005.0,2019,-85.55336961836228,30.47777733626044,True,乔木
3649403,US,Deciduous Broadleaf,Sapindaceae,Aesculus,Aesculus spec,United States of America,iNaturalist Research-grade Observations,3189801.0,2022,-90.50430059980114,36.18402206783933,True,乔木
